entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-09-06,2024-09-13,53975.72828320312,60541.01513085938,long,0.17600503600719986,1155.5235480193353,12.163405768624582,7 days
2025-02-05,2025-02-20,96663.75303515625,98284.77053125,long,0.10943708775098308,177.39943396589152,1.6769651965656667,15 days
2025-02-24,2025-03-02,91463.8809609375,94201.22738671876,long,0.11727975135179482,321.03530817935035,2.9928168332921805,6 days
2025-04-06,2025-04-11,78253.5916171875,83363.13351953126,long,0.14071122503297584,718.9699004361119,6.529466311705373,5 days
2025-06-05,2025-06-09,101626.7411015625,110238.95451171875,long,0.1148573278604197,989.1758192542202,8.474357552752268,4 days
2025-07-31,2025-08-07,115816.08222656249,117438.14998828125,long,0.10869971680161074,176.31830633185194,1.4005548543298412,7 days
2025-08-25,2025-09-08,110179.41373828125,112015.39397265625,long,0.11556233930255058,212.1701707976207,1.6663550586102853,14 days
2025-09-25,2025-09-29,109103.81370703124,114343.18262109376,long,0.11832546025687797,619.9507382120267,4.802186776102464,4 days
2025-11-04,2025-12-02,101641.31869921874,91304.52802343751,long,0.13256021125216635,-1370.2471556509834,-10.169870686517061,28 days
2025-12-15,2025-12-30,86462.99114062499,88385.91774609375,long,0.14049435053663661,270.16032456495293,2.223988067150347,15 days
2026-01-31,2026-03-02,78660.42774609374,68741.46363671875,long,0.1573965134585393,-1561.2103679360098,-12.609852747549505,30 days
2026-06-01,2026-06-20,71355.43332421874,64207.55594335938,long,0.15241567742775056,-1089.448573174175,-10.017285366878014,19 days
2026-06-25,2026-07-03,59751.53661914062,62512.92711914063,long,0.16436534172744244,453.8768931754146,4.62145520641796,8 days
