entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-08-12,2024-09-22,2725.7941007080076,2581.5711175537112,long,3.4852228924893613,-502.6492425124611,-5.291044658025907,41 days
2024-10-12,2024-10-21,2477.7614549560544,2664.3793021240235,long,3.6342928486444066,678.223907391965,7.531711609876463,9 days
2024-12-23,2025-01-06,3417.4932930908203,3686.767022460938,long,2.8182849180060665,758.8900902990493,7.879276015391482,14 days
2025-02-05,2025-04-26,2789.172942260742,1820.9701629638673,long,3.7048239269442105,-3587.0208228729452,-34.71289874596681,80 days
2025-06-26,2025-07-07,2417.354801879883,2541.741677001953,long,2.8582891868879585,355.5336601521962,5.145577927796921,11 days
2025-09-10,2025-09-13,4351.320569091797,4665.84559765625,long,1.662435609631299,522.8776076058488,7.228266076247761,3 days
2025-09-28,2026-01-02,4143.54730078125,3122.8603961181643,long,1.8622408518235394,-1900.764850784916,-24.63316647720273,96 days
2026-02-08,2026-03-18,2089.8073209228514,2202.5697950439453,long,2.822126794412662,318.2299996214034,5.39583113678147,38 days
2026-03-31,2026-04-12,2105.7606060791013,2191.105071289063,long,2.9388486832091614,250.8144692014855,4.0529044452432705,12 days
2026-05-21,2026-07-13,2132.4763498535153,1772.613982055664,long,3.00814078635638,-1082.516666047497,-16.875327495311776,53 days
