entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-09-11,2024-10-01,57371.843460937496,60806.58930859376,long,0.16558645194080648,568.7473782318181,5.9868145077033486,20 days
2024-10-14,2024-10-26,66079.1480625,66981.18796484376,long,0.15166236238142794,136.8055025517678,1.3650900908870416,12 days
2024-10-28,2024-11-03,69942.71169140625,68706.74662890626,long,0.14486875685896428,-179.05272212548596,-1.7671105860939236,6 days
2024-11-06,2024-11-26,75676.89766406249,91939.32765234375,long,0.1313919074255197,2136.751695534247,21.48929262464201,20 days
2024-12-16,2024-12-18,106082.73360937499,99991.51829296876,long,0.11266983222844179,-686.2962077668052,-5.74194792041815,2 days
2025-01-05,2025-01-09,98364.11841796874,92437.79704296876,long,0.11465852740103458,-679.5032817627726,-6.024881298501415,4 days
2025-01-15,2025-01-28,100554.74443359375,101281.81032421875,long,0.10553429075561259,76.73038309970747,0.7230547844563976,13 days
2025-02-20,2025-02-24,98383.10446875,91372.4627890625,long,0.1083990174295752,-759.9466696289514,-7.125859381591612,4 days
2025-03-06,2025-03-08,90006.70742578125,86111.516453125,long,0.11024891313715003,-429.44057119698925,-4.327667441749478,2 days
2025-03-15,2025-04-06,84385.28092968749,78175.3771328125,long,0.11254009017750016,-698.8631332939121,-7.358989302944054,22 days
2025-04-11,2025-05-17,83446.53835546874,103139.49039453125,long,0.10564161750769602,2080.395306908044,23.599483486269644,36 days
2025-05-18,2025-05-19,106499.23081640624,105553.37659765626,long,0.10115638450043479,-95.67919303323177,-0.8881324414263047,1 days
2025-05-21,2025-05-24,109732.9171640625,107737.260671875,long,0.09716140090222362,-193.90078050055462,-1.818648901134903,3 days
2025-06-10,2025-06-12,110312.3629921875,105876.09016015625,long,0.09479921116581211,-420.55516499288535,-4.021555437395017,2 days
2025-06-26,2025-07-21,107013.48,117380.81929296875,long,0.09380619915053653,972.5206943774095,9.687881650955333,25 days
2025-07-22,2025-07-23,120055.41176953125,118695.58345703126,long,0.09114479070568837,-123.94126693848072,-1.1326672346186535,1 days
2025-08-10,2025-08-17,119366.41119140624,117394.33596875,long,0.09051129378336605,-178.4950798407353,-1.6521190534026977,7 days
2025-09-06,2025-09-23,110279.80766015625,111958.49275,long,0.0962468122233779,161.56808862437617,1.52220531161686,17 days
2025-10-01,2025-10-10,118708.25415234374,113157.76000390625,long,0.09053497972203357,-502.5138751760539,-4.67574406520568,9 days
2025-10-26,2025-11-03,114529.68153515624,106494.24967578126,long,0.08949574187291783,-719.1369355240431,-7.016025672705993,8 days
2025-11-27,2025-12-17,91331.01768749999,86100.68593359375,long,0.10454221690290154,-546.7904766909996,-5.726785802171226,20 days
2025-12-20,2026-01-20,88388.17199999999,88266.750796875,long,0.10194660955008522,-12.37847998608512,-0.13737268276686584,31 days
2026-02-15,2026-03-22,68822.58159375,67811.28833203125,long,0.1305095768543675,-131.9834556625868,-1.4694207021879369,35 days
2026-03-25,2026-03-26,71345.53775390625,68757.22918750001,long,0.12389956779520475,-320.6903126983589,-3.6278492641462017,1 days
2026-04-06,2026-04-28,68894.2580390625,76312.4965390625,long,0.12364651276561624,917.2393213886367,10.767571509071082,22 days
2026-05-04,2026-05-12,79867.820203125,80437.25344140625,long,0.11735459280338735,66.82560580721118,0.7129695499802522,8 days
2026-06-13,2026-06-27,64453.53488085937,59910.12760742188,long,0.14612802775129008,-663.9191441382872,-7.049120396322498,14 days
2026-06-29,2026-06-30,60168.44809570312,58529.5799453125,long,0.14576544116561238,-238.89033895395977,-2.723799935447658,1 days
2026-07-01,2026-07-27,60033.759691406245,65152.4855859375,long,0.14203837367248973,727.0555013344799,8.526412340062047,26 days
