period,threshold,total_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,total_trades,calmar_ratio
14,10.0,31.315154547913497,0.5421992780018021,0.4354399365374369,-19.92370502331875,37.5,1.9550375490356309,8,0.734047554366906
14,2.0,30.087505060560655,0.4359117509525639,0.5142020165831218,-28.809904547029618,41.37931034482759,1.4795989738646738,29,0.4889561116849717
10,0.0,22.00181340891686,0.3281334631929276,0.40054090089467587,-24.149962594086226,35.714285714285715,1.3776781204879953,56,0.4338322134340634
14,5.0,20.261589086068486,0.3219219099326392,0.3402465257677668,-31.120019662693466,38.095238095238095,1.3681445883965007,21,0.3112036187378895
30,10.0,17.964978745510564,0.2993256613785215,0.27996053277249827,-29.292294600405704,37.5,1.4850521706276714,8,0.2946217442967153
14,0.0,17.917490604375217,0.27915407683727544,0.34838460124411363,-32.31661425809025,38.095238095238095,1.320014139021031,42,0.26637179627144747
30,0.0,14.555871792110212,0.23534172459885216,0.27025356022410657,-30.508751442832903,36.58536585365854,1.3138983765337908,41,0.23094165307381692
30,5.0,14.134867294857212,0.23211328318743904,0.2356749927016419,-27.451473435675222,31.25,1.3679986934168604,16,0.2494749038624255
10,2.0,6.59045014808933,0.1217012605482539,0.13486767740394076,-25.31492863383577,28.947368421052634,1.1766056018997841,38,0.12836024779348135
20,10.0,7.669012272838536,0.12097929403132865,0.11276166856950219,-21.977582263136508,36.36363636363637,1.2472373297167363,11,0.17160978409271438
5,10.0,7.095832720203397,0.09069101827993055,0.030347012909317992,-10.613356293132727,33.33333333333333,1.8530632714176356,6,0.3292469813746977
20,2.0,1.3839685196331084,0.04181859246590698,0.04641011469790542,-36.35386257294058,39.285714285714285,1.0875288797319198,28,0.019008442576557563
20,5.0,-0.8104999310901075,-0.013287341151171627,-0.01344004433863117,-35.284907874847335,29.411764705882355,1.0439756453340805,17,-0.01153207742948699
30,2.0,-3.965867658552779,-0.054727749359443474,-0.06054596732654595,-39.697149592078,27.27272727272727,1.0469875936125057,33,-0.050559637584909715
20,0.0,-7.55462814036071,-0.09598113975483565,-0.11137511197988689,-36.705929717800494,35.0,1.0071765273758007,40,-0.10513978729735501
5,2.0,-12.658467000653765,-0.2209911531892632,-0.22772483064185536,-37.074386723887386,33.87096774193548,0.9995317002924343,62,-0.1768423093170324
10,10.0,-13.60372384855671,-0.44387181895910566,-0.2891775167690023,-26.205037509609586,28.57142857142857,0.723652997221372,14,-0.26958117916934904
5,0.0,-28.90265196224536,-0.4822594643619435,-0.5885460532438401,-49.62322887725827,31.57894736842105,0.9203176584861424,95,-0.3165925181077796
10,5.0,-28.73287834861502,-0.6033594322765764,-0.5892375376902772,-45.93207155866565,25.806451612903224,0.7068448040787201,31,-0.33984006386322785
5,5.0,-33.31401909016951,-0.9669008638378485,-0.6528883142211966,-40.41701645792485,27.27272727272727,0.517919077388299,33,-0.45457458584696675
