entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-09-01,2024-09-13,128.7548970336914,139.03098989105226,long,73.78360139198531,758.2071392545404,7.981127781626742,12 days
2024-12-09,2025-01-02,217.45013191223146,207.66316054534914,long,46.914326497751325,-459.1491701300604,-4.50078888470511,24 days
2025-02-24,2025-03-02,142.0604814376831,178.40625090789797,long,68.60731405834714,2493.5856207353163,25.58471511738362,6 days
2025-04-06,2025-04-12,105.76486925125121,132.19442880249025,long,114.3518395751893,3022.2687538461987,24.988977661811244,6 days
2025-05-30,2025-06-10,156.31282804870605,164.94565364074708,long,95.57572679515516,825.0885802551371,5.522787668681356,11 days
2025-06-21,2025-06-28,135.2285912475586,150.7521466445923,long,116.05812696399121,1801.6347632014886,11.479492061420084,7 days
2025-09-25,2025-10-02,192.47695820617673,234.73944412231447,long,90.26742385056312,3814.9257291704594,21.957166359033568,7 days
2025-10-10,2025-10-26,188.75819606781005,199.92861117553713,long,111.05182985105417,1240.4950379089526,5.917843749531379,16 days
2025-11-03,2025-12-02,166.17374359130858,138.60487248992922,long,132.9897655249043,-3666.377703558751,-16.590389375341303,29 days
2025-12-17,2026-01-01,123.18136428451537,126.69774309539795,long,150.81698982045663,530.3296673257482,2.8546353836126617,15 days
2026-01-20,2026-02-25,125.76857948684692,87.87164583587646,long,151.4357092286684,-5738.949025026501,-30.132274535973252,36 days
2026-06-02,2026-06-15,74.17993184280395,73.94234230422974,long,182.840789974707,-43.44105892263516,-0.3202881597110293,13 days
