entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-08-27,2024-09-19,2459.95592578125,2463.519821166992,long,3.86185780827879,13.763257223318032,0.14487639182440035,23 days
2024-12-19,2025-01-03,3419.6369425048824,3603.207260742188,long,2.776614061349067,509.7039268640253,5.368123029541265,15 days
2025-01-28,2025-01-31,3078.651105102539,3296.616004150391,long,3.2354124154285184,705.2063405070433,7.079883091870916,3 days
2025-02-02,2025-02-20,2870.1272175292966,2739.0162813720704,long,3.697068436359568,-484.7261037284354,-4.5681228119947574,18 days
2025-02-24,2025-03-24,2515.078199707031,2076.440264404297,long,4.0280522605168265,-1766.8565268446118,-17.440329901226487,28 days
2025-04-06,2025-04-22,1577.5163913574218,1756.4529992065432,long,5.346874771573063,956.7516342193297,11.34293176473114,16 days
2025-06-05,2025-06-09,2417.4937873535155,2680.1763312988282,long,3.858029209840548,1013.4369274562401,10.865903578303596,4 days
2025-06-21,2025-06-29,2301.645853271484,2499.7094809570312,long,4.462390728136479,883.837295765061,8.605304217589598,8 days
2025-09-25,2025-10-01,3870.2681513671873,4348.936748535157,long,2.8654692297746784,1371.6101364442272,12.367840636542919,6 days
2025-11-03,2025-12-02,3604.109259521484,2996.4407274169926,long,3.4324124916198833,-2085.769060359775,-16.86043591767169,29 days
2026-01-20,2026-02-25,2937.0735157470704,2053.6006157226566,long,3.529971572349326,-3118.6342220271986,-30.08004039693554,36 days
2026-05-16,2026-06-15,2180.8418291015623,1794.0637010498049,long,3.3878419406898366,-1310.343163955248,-17.735267312398246,30 days
